id,turns,winner,white_rating,black_rating,opening_ply
wNK2HdLb,58,black,1251,1545,3
d62Tg4dc,71,white,1537,1408,3
TaSQfvww,114,white,1522,1512,1
Xwpzq87m,39,white,1602,1532,11
AHmgnsKz,20,black,1543,1593,5
MfNml1rl,48,black,1556,1539,3
mEAvshF2,34,black,1409,1548,3
ySsVdRfw,51,white,1539,1418,5
ylLqmXwb,69,white,1603,1550,3
8mceLIXN,28,white,1542,1399,4
YmJpuJkM,62,black,1546,1877,5
PNNfempy,62,black,1134,1535,4
TVfozmF5,85,white,1513,1784,2
4LX77G3m,38,white,1501,1445,5
nBfSissu,14,white,1500,1500,8
h1unxHlo,113,draw,1745,1714,4
OIyTAHCP,62,white,1734,1748,4
bnCnIJSz,101,white,1942,1739,6
ZzWyY1f8,75,white,1724,1855,7
mkKSL3Ev,135,white,1951,1729,11
aVwWNjNR,81,white,1726,1388,5
DNUmSBH4,46,black,1735,1806,6
Tlng5eqN,70,black,1597,1728,3
wljkejE0,39,white,1743,1738,10
iNZuj8bY,91,white,1721,1750,7
Kan2JKOp,137,white,1746,1487,5
bCUwPEJ7,46,black,1744,1735,9
zTwM10Si,18,black,1749,1631,9
PBQ5Il7e,28,black,1769,1396,5
z1LTn4pe,40,black,1795,1760,5
7NKtCk3B,111,white,1729,1795,5
TMtvbg3w,54,black,1795,1784,6
0OXPfTEt,33,white,1770,1872,3
YzMf40DM,90,black,1783,1721,5
q3NHAFFp,90,black,1884,1768,7
Gz7Icasx,40,black,1756,1756,5
3n4poRIX,49,white,1724,1958,5
XRuQPSzH,50,black,2036,1706,6
XPZikam7,59,white,1706,925,5
5SNh53F9,26,black,1244,1219,4
ezdEKpqG,23,white,1215,921,5
WyQjriEX,118,black,1350,1201,5
vAOIY0jj,66,black,1210,1280,4
gHld9WSr,120,draw,1139,1212,8
dh2xQb3X,36,black,1220,1341,11
TKwuIzb6,26,black,1234,1359,6
s752sCLr,62,black,1275,1236,11
lKYmVLZt,37,white,1433,1282,3
dRhehsEy,24,black,1132,1276,4
7rbdtPwO,47,white,1276,1308,6
ahwTovI0,37,black,1228,1266,7
fgK91ojo,24,black,1273,1409,5
Cmhkui8U,9,white,1338,1277,3
TRpFAEWd,47,white,1263,1336,8
btHFH9xr,85,white,1316,1273,2
G9xaiPFl,39,white,1248,1253,2
RkMlSx4r,58,black,1335,1233,6
Z1CTghfR,95,white,1223,1189,11
X4QqWp8Q,2,black,1443,1204,2
R6dF4yRx,97,white,1227,1216,4
PLxCc87r,12,draw,1215,1219,5
p7a4FGwp,30,white,1227,1227,8
3udM9T6k,43,white,1550,1225,8
hkMNenrh,11,white,1325,1234,2
jrmlULM0,72,black,1212,1221,5
JbLparSt,156,black,1226,1478,3
mqZFkCf3,18,black,1228,1626,4
dZn9WLT5,77,white,1191,1228,7
MgL176RS,32,black,1422,1210,5
V16nc5AF,35,white,1186,1223,5
GT8TdRlm,85,white,1212,1212,2
2P2u5f63,50,black,1228,1343,6
15nlkNRf,111,white,1865,1862,5
xwl41jna,65,white,1852,1852,5
1zRjgcqm,73,white,1833,1863,4
vfnLULoh,125,white,1851,1918,4
ut6LIGPI,76,black,1861,1844,6
1KbSJtjs,65,white,1853,1774,6
cqrATt9o,41,white,1910,1862,11
deKfSOPy,59,white,1851,1890,3
vQ1psjxd,70,black,1860,1840,5
k1qV5HHz,34,white,1828,1848,5
QQ3iIM2V,69,white,1855,1858,1
GppFo58m,63,white,1847,1895,8
BoDJGVyk,107,white,1885,1856,4
tqirXAEm,58,white,1847,1802,1
GLC4oNZR,34,black,1847,1856,6
3eLsB99C,100,black,1840,1837,3
M6zMVwqK,80,black,1848,1806,4
yrQWTJVz,44,black,1860,1820,3
aF6DiZZe,40,black,1854,1849,3
0dm3RaQv,105,white,1895,1859,4
BxxAvvER,50,black,1866,1965,6
fPPfEuu5,144,draw,1866,1843,4
Hysqcekp,81,black,1835,1866,11
oaKcGCrO,69,black,1877,1860,6
xMezmOBz,77,white,1849,1874,11
46AuHfcq,158,black,1835,1865,6
A7ddojjI,107,draw,1866,1835,7
SGqoxO3v,117,white,1856,1829,12
pHJ5zXyE,44,white,1845,1846,8
WqMvA7iE,40,black,1834,1835,4
s3v6jMaX,59,white,1846,1845,2
hl3zLZmV,110,black,1845,1917,4
PHYPEO42,30,black,1858,1790,4
NgZ8xxFe,54,black,1871,1847,4
1ZeBVc5V,69,black,1846,1869,5
OmwDxZpJ,178,black,1843,1836,3
JewxmuG9,136,black,1800,1826,2
0gTDO6Av,124,black,1283,1267,5
t7vvcwqO,96,black,1290,1270,1
igSDFKv0,53,white,1331,1281,4
facMwkUo,39,white,1304,1292,1
j5KY62yS,10,black,1305,1293,3
nyYULwUl,51,white,1308,1317,8
h0YsGMhj,18,black,1296,1305,13
o4T7dj5h,106,black,968,1305,8
VgNt0SSX,38,black,1293,1466,5
UvqLtnPM,59,white,1500,1299,7
1b0kpInt,111,white,1288,1232,3
dJEtAQp7,28,black,1289,2108,9
ZPHBiKBY,101,white,1431,1289,6
I8odmGjb,15,white,1806,1289,7
DijZlfMy,42,white,1289,1311,5
LyRqbD4d,118,black,1431,1289,3
CvakmVNb,34,black,1289,1484,6
O037dETy,60,black,1289,1810,5
CxQlHSnq,66,black,1806,1289,5
Q0jogkvi,21,white,1289,1500,5
QurxyQkA,73,white,1409,1297,8
mJ9VpdxV,159,white,1280,1485,6
edYOVb5F,74,white,1280,1211,4
GstYv2mJ,28,black,1211,1280,3
dFQ5D7CS,112,black,1281,1765,6
2FpFvoMt,104,black,1288,1454,4
cywOBEY5,40,black,1560,1270,5
pnU8dLUx,44,black,1274,1534,4
lE65efFF,150,draw,1259,1663,6
bCVL4bZl,60,black,1614,1238,5
WUyPeYW8,37,white,1221,1417,11
xRY7h8aS,88,black,1222,1732,7
92UGyHOr,113,white,1232,1234,7
UqxaqU7R,55,white,1240,1219,8
TTzZc8gW,135,white,1590,1600,5
F7oADKYb,137,draw,1568,1617,5
GoYkQEoS,97,white,1500,1358,6
DszY6Pr4,33,black,1384,1325,2
FhJcOzZW,29,black,1384,1265,3
kKFslhlg,55,black,1384,1950,2
VVkKGe4E,91,white,1377,1249,4
11VaOez1,53,white,1375,1389,4
2akR3Bit,49,white,1378,1361,5
mG2dEz4z,48,black,1261,1371,4
xrZnbIGD,20,black,1380,1429,4
lOU3lddA,87,white,1369,1368,6
xYEVgk0W,11,white,1290,1371,9
QnXuc72h,110,draw,1372,1326,2
ejaSwZEr,24,white,1361,1383,1
3ZfA3gFa,23,white,1217,1399,4
WoOqoYEL,81,white,1387,1447,5
EgoW2NiE,34,black,1474,1387,2
ZctgRAt4,103,white,1377,1351,4
VuZ0dzhO,29,black,1389,1339,4
1cvi4Z6K,22,black,1389,1400,4
E83xJFBo,38,white,1849,1389,5
hVSNfLer,46,black,1395,1378,9
XyM6zTew,23,white,1370,1257,6
5sEcA5zs,31,white,1360,1332,5
wXnKMk3N,51,white,1311,1360,4
YPVYpEvm,87,white,1714,1360,6
rth667hB,31,white,1354,1217,5
rb7lq7dT,38,black,1245,1346,5
hxMTrlzW,43,white,1346,1099,6
hfNJtVnd,105,white,1336,1287,4
ijtzfFex,87,white,1580,1555,2
Uc64bIGE,36,black,1555,1580,6
o1qwAoUy,38,black,1649,1547,6
voV4ekhS,110,black,1426,1527,3
VUCRbEm8,48,black,1557,1547,8
LDLdtyDj,95,white,1557,1607,5
Gr1n1AdP,70,black,1607,1557,1
1TpYTEKR,42,white,1557,1632,7
AUzK1bj8,177,white,1535,1609,11
R5SfPQiB,114,black,1713,1558,2
VXdhNTk5,57,white,1497,1730,2
kTRSenmv,57,white,1437,1552,5
FE7B5vY8,82,draw,1516,1552,2
PEIWrbTQ,29,white,1513,1456,5
8hlHAFPF,70,black,1355,1478,7
BwBDbyKq,97,white,1638,1614,6
E41MaCB9,99,white,1613,1934,11
UVbhSOnA,74,black,1865,1613,5
HYMGpINp,48,black,1776,1587,2
L9UeFctE,77,white,1568,1593,6
DbYHY9Bc,80,black,1605,1546,6
7fftvkF6,35,white,1518,1709,5
IlQp1eqc,33,white,1728,1527,8
atgsbOBS,87,white,1515,1379,4
Kx4jd1Oo,40,black,1538,1501,4
5vg0pHEg,54,black,1511,1516,4
5uNNVd3c,67,black,1464,1495,9
aGVLNoTY,21,white,1470,1475,4
W4eyc9dH,14,black,1490,1440,6
l2My0J1h,71,white,1611,1974,18
eRHQGmr2,72,black,1611,1945,8
D45fTp2y,62,black,1584,1611,5
lTOKfWMv,48,black,1942,1611,1
sd7oPNum,6,black,1217,1611,6
xLmd5oZZ,69,draw,1611,2059,12
T3gAyyeH,72,white,1611,1478,4
HDPjH5bD,40,black,1486,1552,5
cFSW3SMi,29,white,1453,1496,2
wsNnVC6Y,44,white,1340,1326,2
UxvU6EN4,59,white,1532,1500,3
mjXUQnww,115,white,1560,1557,6
lC84DiKq,70,black,1571,1577,2
A17jdHS8,36,black,1580,1617,2
t5ixT6HN,83,white,1531,1593,7
8uZRNw8n,99,draw,1449,1597,9
vwQzM7Sg,43,white,1743,1604,6
I4zyNfPo,89,white,1604,1614,8
6eQ92lsE,96,black,1550,1605,3
8BLA0IOl,116,black,1630,1605,8
pMcUNK5E,78,black,1475,1605,1
Kzq2t2lB,77,white,1605,1475,1
a0VRhASu,70,black,1475,1605,3
5gymGRgt,27,white,1570,1605,7
Vyrkyifp,102,black,1605,1500,1
exEzRx87,21,white,1500,1605,9
i3YfxFdL,33,white,1605,1500,1
8ctKV1wh,74,black,1513,1605,5
jVXtr42v,65,white,1790,1874,1
ZXM2sX4y,81,white,1864,1805,5
UFKSc5hH,45,black,1496,1861,3
jhA7bDVC,52,white,1851,1853,8
vc2eo2Sh,51,white,1861,1863,4
WgPBuJD6,48,draw,1618,1609,3
WtFUCKgj,20,black,1620,1607,1
EQDn1BA7,50,black,1621,1496,5
AbDhfpnX,98,black,1633,1581,5
Ger5Zno3,106,black,1623,1623,6
JHH8PcNq,19,white,1612,1614,5
8Ie5Oesp,22,white,1605,1624,8
HN5jnzyI,114,draw,1693,1621,4
GRAng26s,69,black,1631,1684,4
TaaLCuw6,34,black,1636,1619,8
R2JFua6L,40,black,1613,1617,8
LcPvndOa,108,black,1627,1495,6
oWSctoZp,27,white,1480,1643,3
m793jf7F,63,white,1631,1652,5
UaulsArt,31,white,1687,1641,5
EL3LK94E,71,white,1630,1638,6
PcXdgcJJ,92,black,1414,1624,6
XGG3VNC9,47,white,1619,1419,7
n1hgevhj,56,black,1629,1659,5
q5P7mAB4,48,white,1649,1639,3
sl4N6t22,124,black,1677,1627,1
DhoFXYNH,49,white,1705,1636,8
q6FmC8Id,64,black,1647,1635,13
2CvZyh4h,29,white,1637,1627,7
Psin3ost,45,white,1626,1631,5
AaSSYIy6,96,black,1602,1615,6
0lWtXgXo,92,black,1634,1603,3
IC0EFtA5,40,black,1611,1591,9
L8gPU593,123,white,1579,1623,19
0PVGpBvD,129,white,1995,1581,4
2icRDIZI,120,black,1589,1569,9
ktRhE4Ky,71,draw,1570,1555,6
5AYA7mBv,97,white,1559,1557,3
qGThbTuM,60,white,1546,1571,2
pLR3kRgy,57,white,1550,1567,6
EdKqO9z1,38,white,1560,1419,5
sAjNrfSm,111,white,1840,1564,8
BON8sFeZ,119,black,1660,1549,4
PREaBSqk,33,white,1534,1678,5
CmAh08GF,32,white,1789,1538,6
FpZiajAh,96,black,1841,1921,8
uFREIMDF,92,draw,1926,1737,2
4Wozw7Zh,64,black,1629,1887,3
GIoSZf5k,10,black,1860,1712,7
9r2yzwRq,85,white,1500,1568,4
e4UoYNOg,40,black,1780,2132,10
sn4zdyQb,58,black,966,1124,2
ppPlxT3Q,26,black,884,951,2
D0idNTxu,4,black,945,1070,3
yTbYtCF6,118,black,971,1149,3
AEIBxJhK,11,white,1238,985,1
mwcADhNn,163,draw,972,1247,2
ygHSZzNE,95,white,1107,961,4
9MESu3hH,37,black,974,1129,3
tBXOrjlO,101,white,1203,970,3
J5DYrnEf,80,black,998,937,5
o5ZRUXrY,78,black,1016,1126,1
e5CGewyU,89,draw,1025,1153,4
fV2cuf3p,42,black,1047,1151,4
baOLL2ej,8,black,998,1016,6
tHHd8ejz,101,white,1127,1044,3
E9Es660b,65,white,1020,1200,3
0Hl7FLEs,60,black,1069,1071,4
6pOeX4hN,71,draw,1071,1068,3
zALflmF8,44,black,1115,1223,4
F8euV2Zp,20,black,1190,1213,4
VC0euQZC,41,white,1337,1337,3
F0rtsvLh,40,black,1500,1500,2
vI6soB0y,27,white,1500,1571,7
RHqtUgcA,59,black,1367,1866,1
pCdIqYQn,19,white,1590,1373,2
7DyaFpEQ,50,black,1377,1667,1
gDy9stbN,34,black,1558,1358,15
4C9wlcMh,15,white,1476,1367,2
J2JnXESd,52,black,1376,1469,1
fYXWmMQo,65,white,1460,1386,2
0izXEQL0,67,white,1372,1408,5
C7ZN9Vt6,31,black,1373,2148,4
nXAMBzZC,130,black,1500,1395,2
PDmTWzdY,125,white,1382,1414,5
l33LvAGO,76,black,1320,1400,3
VVMmBXVj,121,white,1383,1330,3
J7LsFrHs,53,white,1383,1242,3
nrOeTNGE,116,black,1469,1357,9
o8It5NwS,47,white,959,1357,4
KYR2S7f1,53,white,1357,959,3
lUfS2I5H,76,black,959,1357,4
9GK7Wbwa,110,draw,1588,1691,8
RQKVDRu3,67,white,1541,1586,9
gzD3S9qf,17,white,1517,1320,4
aqIy0Ek9,39,white,1569,1569,2
F9LhXEvk,94,black,1563,1498,5
scqVJjj2,37,white,1903,1512,8
BoBZJpRS,37,white,1612,1450,5
5VAOl0rA,34,white,1327,1450,3
TMNMnaD7,41,white,1245,1450,5
ERl5w1Lb,30,black,1921,1451,4
XLvG0Fxw,51,white,1462,1464,3
kI6eU49k,79,white,1450,1486,6
wbR4KA2i,83,white,1439,1418,5
eTcONlGD,14,black,1728,1500,6
AFrSI2mE,21,white,1547,1563,4
Of7utwYA,47,white,1863,1567,2
MbJQrZqR,38,white,1559,1423,2
57CfXLeQ,34,black,1570,1611,7
6jtIjE2R,39,white,1562,1582,6
jsfpSHaf,43,white,1576,1386,3
CPDDgugd,41,white,1353,1595,3
RXnpG2TZ,49,white,1591,1326,3
FgNBqN3z,38,black,1560,1580,4
ploTbJ6s,70,black,1727,1574,4
hbxnJvqu,48,black,1579,1841,4
eZH6krXF,50,black,1877,1558,11
qKXrw2ki,57,white,1536,1962,3
FhfFRSoX,148,draw,1529,1763,3
EHmTVpmX,62,black,1590,1515,4
XUuJhAEP,29,white,1653,1522,2
1CEn79ih,52,black,1675,1505,6
EHODQ73d,26,black,1547,1491,6
Wt4pO0yV,59,black,1507,1399,2
37DIkyQP,2,draw,1641,1502,2
BThm18qK,195,draw,1496,1703,5
IgqWb3wU,56,black,1482,1484,4
TAdphcbm,40,black,1486,1909,2
63lPam9c,31,white,1919,1488,2
I400IkFs,60,black,1488,2192,2
Q9Bk2G35,45,white,1470,1684,3
irRJlNd6,63,draw,1465,1659,3
bubeMcp6,17,white,1586,1473,5
pxoOFfHH,34,white,1548,1488,6
Av8udV1F,36,black,1500,1501,2
RIrGfA5F,62,black,1509,1487,8
GlTzWj5E,46,draw,1356,1491,2
lFN4Gvv1,34,black,1495,1771,2
cJRIpA0K,38,white,1529,1639,3
4u0MUqHf,107,white,1631,1537,6
68pMrUFp,42,black,1546,1621,6
hz2R5AX6,35,white,1568,1636,5
ZbjPJQvo,122,black,1354,1631,5
rbcpm9pr,71,white,1626,1384,7
3fubUQ1L,42,black,1639,1813,6
QYc8zif6,2,black,1646,1795,2
afXDSWwS,11,white,1646,939,4
kzO8xpo0,54,black,1657,1678,8
lfKoLKHr,58,white,1667,1668,5
DcNnJYPu,42,black,1683,1599,4
4ohxsOYi,116,draw,1596,1686,2
nBIWZ8Fi,74,black,1769,1659,2
IIlpa2I0,54,black,1668,1761,2
Fl7n8wyn,85,white,1752,1677,2
kATFCmb6,38,black,1688,1743,10
8BHaVwSf,41,white,1582,1704,3
JHs2yQVf,121,white,1693,1666,7
WOwzREnN,30,black,1676,1680,3
vCxVnALT,64,black,1142,1679,3
BAKj62Jt,15,white,1678,1148,10
IhPROx4l,40,black,1154,1676,1
FEAnKMLP,128,draw,1686,1098,2
wwF013vq,48,black,1102,1685,1
UVCNEXse,51,white,1684,1107,4
YeWcT5XP,71,black,1493,1678,2
mOQE6k1N,60,white,1525,1693,3
nIQ2d4S6,58,black,1709,1681,2
PRsV872Z,60,black,1692,1699,2
TQOTfC0X,40,white,1688,1704,2
XA0DImut,29,white,1699,1497,2
SBB7hpZn,98,black,1703,1943,2
9LBbJAy5,71,black,1694,1692,6
jkBe42CV,135,draw,1696,1564,2
Z9FnkzxR,34,black,1572,1688,5
rt1IFgnN,60,black,1392,1684,6
m6bOuo2a,47,black,1707,1696,3
d79KE45O,23,white,1684,1720,7
VzLpYJ1R,78,black,1733,1672,2
wLCl9YNn,35,white,1721,1736,6
RSsb4wYF,53,white,1724,1733,4
lm8AKQIn,120,black,1746,1712,2
uiJ5thnm,41,white,1741,1496,2
GHlw6n8z,42,black,1295,1240,7
yLhzi5Dd,63,white,1430,1302,5
brPQOL4Y,23,black,1302,1248,4
gH21a6oq,32,black,1314,1270,5
giix8ieL,73,white,1445,1314,5
Un8lFrlI,90,black,1321,1451,7
xNeUwMhV,41,white,1300,1333,6
ckyHRYkd,43,white,1318,1449,4
qRI4whmd,38,black,1450,1303,17
fE1B5wMl,41,white,1290,1367,5
pbX2HMso,84,black,1300,1330,9
TVcCQzD5,56,black,1209,1291,5
KYsVM4yI,30,black,1299,1418,6
e4kFuJQ9,6,white,1814,1299,5
5FPLsNja,67,white,1348,1308,3
uBwEbVAF,56,black,1318,1366,5
7sZ6ADlB,103,white,1324,1329,6
1iCdDMNl,40,black,1345,1187,5
8lPSOnVV,52,black,1352,1149,5
YQvHXNdq,57,draw,1350,1429,10
BHUzGb7V,23,white,1403,1340,3
W3fUpxff,39,white,1322,1072,5
eCQSU6WF,52,black,1331,1382,4
sOofcpg2,41,white,1373,1341,6
stoudusq,33,white,1350,1265,5
Q8AA3Qby,58,black,1270,1299,3
R9lE5mr6,31,white,1223,1282,4
KKoEd9W4,15,white,1289,1306,8
AFBQ040C,32,black,1007,1268,6
jRosMYvP,45,white,1170,1179,5
47I7Smmy,25,white,1442,1183,8
mjeeolDf,15,white,1172,1170,5
bn6tE2Gy,62,black,1178,1346,8
SQz0aocr,59,white,1171,1190,9
9bpYNzjf,51,white,1175,1329,10
faXIXTIb,22,black,1273,1160,2
BvcCXIJt,27,white,1154,974,5
FH8TvLSY,34,black,1167,1122,6
99ONvKAR,79,white,1439,1171,10
ukTTpK9V,73,white,1245,1170,9
XwMJo8Hb,74,black,1250,1156,1
Wxgi9dv0,92,black,1164,1263,8
zijw7opz,26,black,1173,1251,5
5XspUzEQ,40,black,1089,1165,6
mF8Y8wMD,77,white,1278,1173,3
0iDlMyOe,58,black,1178,1391,6
S6w3WP4J,51,white,1164,1293,10
dMKJGAdC,73,white,1353,1170,7
XRepUkbo,50,black,1030,1162,3
8qrohlbN,52,black,1176,1118,4
YjfJDGGF,11,white,1353,1181,4
z3qhi0Bd,61,white,1184,1184,5
mN4q9WaV,19,white,1171,1252,5
o2qYkjN6,51,white,1157,1234,7
KCGLwr8V,12,black,1034,1149,4
x1WIDEZK,86,draw,1156,886,5
snYK1vb6,27,white,1142,1226,3
tCGqQulN,86,black,1042,1133,3
d8WlBOrX,61,white,1123,1084,6
pWKk30rV,53,white,1247,1122,3
wQrRnpIt,50,black,1070,1112,1
qFF2fQKT,16,white,1099,1173,7
3hcX07ip,110,black,1114,1027,5
bg6UbBVr,45,white,914,1133,5
qful43xo,93,white,1125,996,5
tSsmRu5M,105,white,1242,1125,4
FdDUEr14,60,black,1133,1234,6
KNp9mDXB,58,black,981,1127,6
SdKFE3PV,65,white,1111,1219,7
6eguvCWU,56,black,1126,1054,5
BLTfqEmu,64,black,1147,908,4
x0M9UzvX,4,black,914,1141,1
HDH18gtj,58,black,1984,1948,6
lHNSzBps,34,black,1954,2158,3
PyEpiSJp,101,white,2008,1954,4
yyxv1Rvw,35,black,1954,2008,5
15LAUrJ2,54,black,2008,1954,2
A7XDlKwD,116,black,1954,2008,2
ihRvX5OV,115,white,2100,1960,2
ZYvbvpag,48,draw,1945,1961,6
BnUS7DQe,56,draw,1982,1960,2
W8zaOGXs,54,black,1974,1899,2
TpxYFubZ,37,white,2068,1982,11
N7FMrhyD,81,white,1959,2028,1
leveeyFX,45,white,2005,1969,1
cRu3Kf1o,161,white,1960,1868,2
gShSMXDR,88,black,1964,2287,5
NYlPGBFO,148,draw,1914,1965,4
brC35BxF,119,white,1951,2049,2
fwGfUhX6,60,black,2149,1933,7
h0irlyP1,34,black,1599,1929,6
eliy5ecl,94,black,1882,1919,6
3sNZxnJZ,122,black,1699,1914,5
fFfNpkab,44,black,1916,2285,2
k8bpLGVX,26,black,1936,1638,5
inhWg7LE,116,black,1758,1929,4
s8b6pWX3,31,white,1265,1957,5
FGUuHBIN,133,white,1954,1578,9
FfPQwkyj,65,white,1984,2050,4
jTvyCsWT,62,black,2050,1627,2
qn5XNlhr,62,black,1627,2050,3
eJgE3AVx,42,black,2050,1627,2
YNQ5pxFn,42,black,1627,2050,2
WQTHwpKc,158,draw,1617,2050,5
ndZRhK6w,31,white,2050,1852,6
RkhniADk,46,black,1981,2050,4
y9jJdqti,20,black,2050,1981,9
yC4TNsVZ,73,white,1901,1164,8
sfAQRL4r,35,white,1164,1435,4
73yrL8pJ,71,white,1435,1164,7
TWpQfwRs,46,white,1164,1435,7
33CuQ7Wv,52,black,1164,1901,8
H8ZbC9Nb,52,black,1245,1228,5
c97bIIYV,70,black,1287,1099,2
nQNTkDIK,49,white,1866,1099,10
YcFsnSyR,75,white,1211,1230,2
3zUeArOl,61,white,1344,1500,4
YDr0Gbb8,41,white,1834,1500,8
bkePgHvV,46,black,1500,1834,5
1Rb8zwjl,53,white,1635,1500,10
zJiScU54,52,black,1456,1604,4
Z4SG1Ob7,36,black,1378,1318,3
8MfLGOXL,64,black,1500,1487,5
JAAIwQEV,65,white,1714,1709,5
DDTJ3Yeo,71,white,1613,1729,9
hn1NqGaN,50,black,1731,2127,4
33xKIuG7,54,black,1739,1840,11
tKZv5wGC,76,black,1760,1718,7
c2WR287x,61,white,1708,1729,8
MIapptBf,53,white,1721,1643,4
J2GvS4LK,24,black,1707,1712,7
Sfay2hYj,64,black,1170,1662,2
wytBeWQ0,51,white,1261,1237,1
Z0VzPUPm,71,white,1100,1306,3
1pBIszeA,49,white,1590,1100,7
CAEZnTSC,34,black,1100,1590,3
JT1xA30W,88,black,1302,875,3
9UGcuRBe,11,draw,1234,1335,4
LSQ4yNeU,11,white,1522,1500,6
xSwSmC1e,86,black,2306,2405,7
TovD1oTY,58,black,2422,2386,8
u0FzSAO8,50,black,2373,2356,17
1YmgTIJI,62,black,2325,2338,5
DYpN9YxD,39,white,2336,1830,9
9ZsNhTh2,49,white,2334,1836,6
78hLyDK0,43,white,2329,2017,15
mquRdEhM,84,black,1879,2326,6
awUwx4yw,41,white,2323,1881,16
wXWF2VOU,48,black,1622,2322,9
AAiM3La2,48,black,1933,2318,10
FrYghAWU,38,black,1983,2313,2
2HUEMO77,41,white,2312,1663,6
ob8ByiQL,28,black,1866,2309,2
XDgrsvyY,74,black,1835,2307,9
drftECef,29,white,2300,2041,8
lLnTBNyP,45,white,2288,2148,4
q1qoMs5p,61,white,2283,1947,7
FicdeaYj,19,white,2275,2016,12
DrNPTV0R,48,black,1909,2271,8
h8sFveY6,41,white,2263,2006,7
YTPvqqDg,30,black,1293,2263,2
x3qqYZK7,55,white,2257,1922,9
TTXLxBqr,72,black,2191,2239,10
tz5RAeQT,78,black,1380,2239,4
M0iO8NeI,34,black,1796,2235,4
DuBCgvJa,56,black,1879,2230,11
4Sqxp7eu,49,white,2217,2059,15
zbVWQB0i,72,black,2336,2185,10
e0t2usED,70,white,2175,1936,11
jcoH8Yl5,83,white,2161,1984,8
ynfbOFga,57,white,2150,1915,6
VG0al8lF,39,black,1976,2135,6
QR3IXpzt,56,black,1830,2126,4
4SrloqB0,46,black,2001,2105,6
aQ1k38XF,31,white,2104,1344,5
PccY4zs2,66,black,1918,2086,4
MXV6B40A,52,white,2082,1500,7
